id,anchor,target,context,score
6bdd1d05ffa3401e,abatement,emission abatement,H04,0.5
a937ae580ea4bd97,achieve authentication,achieve access,H04,0.75
ea154b802bebc48a,achieve authentication,achieve authentication accuracy,H04,0.5
24eda11bf0665917,achieve authentication,achieve authorization,H04,0.75
14c027729175aedd,achieve authentication,achieve goal,H04,0.0
6553f33ff35f0e58,achieve authentication,achieve goals,H04,0.0
76a67059397b6ab4,achieve authentication,achieve local authentication,H04,0.5
b1f6c5153065d1f4,achieve authentication,achieve mutual authentication,H04,0.5
8f503153606f57ba,achieve authentication,achieve success,H04,0.0
c48fe27988cb335a,achieve authentication,achieve target,H04,0.0
0d40fb13a68069f1,achieve authentication,achieve the authentication requirement,H04,0.75
7a33ea9b3475af14,achieve authentication,achieve verification,H04,0.75
d2088cdd8be8761b,achieve authentication,biometric,H04,0.25
804ab9af5a8550f6,achieve authentication,denial of authorization,H04,0.25
a9517b7094b76f0c,achieve authentication,denied access,H04,0.25
86a215a06817e866,achieve authentication,encryption,H04,0.5
63ae5e20e8e310dd,achieve authentication,failed authorization request,H04,0.25
67dbbc523e25a8b1,achieve authentication,login,H04,0.25
1a76d7a9dadc8deb,achieve authentication,multi factor authentication,H04,0.5
2ad713aa54d461ba,achieve authentication,signature,H04,0.25
35546bdc044efe91,achieve authentication,target achieved,H04,0.0
ae669f9980698f21,achieve authentication,vehicle verification,H04,0.0
e8aa282521dc2bb6,adaptive linear,adapting,H04,0.25
c7981eb2712b238c,adaptive linear,adapting linear,H04,1.0
1f741731b5547b0d,adaptive linear,adaptive,H04,0.25
848eb589b62260ec,adaptive linear,adaptive filter,H04,0.25
e504ef7f72d131ae,adaptive linear,adaptive immunity,H04,0.0
36e747730166a75d,adaptive linear,adaptive linear combiner,H04,0.5
17888f3cc14fd0a3,adaptive linear,adaptive linear digital model,H04,0.5
eda3e53cd65e28d5,adaptive linear,adaptive linear equalization,H04,0.5
6a2f0308f283cc4c,adaptive linear,adaptive linear filter,H04,0.5
39b96c6464d8f4e0,adaptive linear,adaptive nature,H04,0.5
8923194a407e1d8e,adaptive linear,adaptive radiation,H04,0.0
37027c63c5b480b2,adaptive linear,automatic linear,H04,0.75
8718dc337665a636,adaptive linear,dynamic linear,H04,0.75
b0796c5c5ac33580,adaptive linear,equalizer,H04,0.25
bb4fe1d01682b78b,adaptive linear,linear adaptive,H04,0.75
5f5da774cd33d157,adaptive linear,linear contrast enhancement,H04,0.25
c1bf58bac605ae4a,adaptive linear,linear graph,H04,0.0
ad13855715768d00,adaptive linear,linear model,H04,0.0
0ea918472a29edd3,adaptive linear,linear pair of angles,H04,0.0
a98f4d7e3588b09d,adaptive linear,linearly adaptive,H04,0.75
321811ec93942a8d,adaptive linear,mp tc,H04,0.25
4ea0d228a94ac406,adaptive linear,network,H04,0.25
e2722f3fab6a4d61,adaptive linear,non adaptive speckle filtering,H04,0.25
932587f50163c70d,adaptive linear,non linear model,H04,0.25
f28652e82a866499,adaptive linear,recursion estimator,H04,0.25
3f502328d7d933e3,apply to requests,apply acknowledgement,H04,0.25
